family	species	dias_refs_count
Leptodactylidae	Physalaemus spiniger	2
Leptodactylidae	Pleurodema alium	0
Leptodactylidae	Pleurodema bibroni	1
Leptodactylidae	Pleurodema brachyops	6
Leptodactylidae	Pleurodema diplolister	1
Leptodactylidae	Pseudopaludicola ameghini	1
Leptodactylidae	Pseudopaludicola atragula	0
Leptodactylidae	Pseudopaludicola boliviana	3
Leptodactylidae	Pseudopaludicola canga	0
Leptodactylidae	Pseudopaludicola ceratophyes	0
Leptodactylidae	Pseudopaludicola chimaera	0
Leptodactylidae	Pseudopaludicola coracoralinae	0
Leptodactylidae	Pseudopaludicola facureae	0
Leptodactylidae	Pseudopaludicola falcipes	6
Leptodactylidae	Pseudopaludicola florencei	0
Leptodactylidae	Pseudopaludicola giarettai	0
Leptodactylidae	Pseudopaludicola hyleaustralis	0
Leptodactylidae	Pseudopaludicola ibisoroca	0
Leptodactylidae	Pseudopaludicola jaredi	0
Leptodactylidae	Pseudopaludicola javae	0
Leptodactylidae	Pseudopaludicola jazmynmcdonaldae	0
Leptodactylidae	Pseudopaludicola matuta	0
Leptodactylidae	Pseudopaludicola mineira	1
Leptodactylidae	Pseudopaludicola motorzinho	0
Leptodactylidae	Pseudopaludicola murundu	1
Leptodactylidae	Pseudopaludicola mystacalis	6
Leptodactylidae	Pseudopaludicola pocoto	2
Leptodactylidae	Pseudopaludicola restinga	0
Leptodactylidae	Pseudopaludicola saltica	2
Leptodactylidae	Pseudopaludicola ternetzi	3
Leptodactylidae	Rupirana cardosoi	2
Leptodactylidae	Rupirana kaatinga	0
Leptodactylidae	Scythrophrys sawayae	0
Microhylidae	Adelastes hylonomos	0
Microhylidae	Arcovomer passarellii	0
Microhylidae	Chiasmocleis alagoana	1
Microhylidae	Chiasmocleis albopunctata	0
Microhylidae	Chiasmocleis altomontana	0
Microhylidae	Chiasmocleis antenori	0
Microhylidae	Chiasmocleis atlantica	0
Microhylidae	Chiasmocleis avilapiresae	0
Microhylidae	Chiasmocleis bassleri	0
Microhylidae	Chiasmocleis bicegoi	0
Microhylidae	Chiasmocleis capixaba	0
Microhylidae	Chiasmocleis centralis	0
Microhylidae	Chiasmocleis cordeiroi	0
Microhylidae	Chiasmocleis crucis	0
Microhylidae	Chiasmocleis gnoma	0
Microhylidae	Chiasmocleis hudsoni	3
Microhylidae	Chiasmocleis jacki	0
Microhylidae	Chiasmocleis lacrimae	0
Microhylidae	Chiasmocleis leucosticta	4
Microhylidae	Chiasmocleis mantiqueira	1
Microhylidae	Chiasmocleis mehelyi	0
Microhylidae	Chiasmocleis migueli	0
Microhylidae	Chiasmocleis papachibe	0
Microhylidae	Chiasmocleis quilombola	0
Microhylidae	Chiasmocleis royi	0
Microhylidae	Chiasmocleis sapiranga	0
Microhylidae	Chiasmocleis schubarti	1
Microhylidae	Chiasmocleis shudikarensis	2
Microhylidae	Chiasmocleis supercilialba	0
Microhylidae	Chiasmocleis tridactyla	0
Microhylidae	Chiasmocleis ventrimaculata	2
Microhylidae	Chiasmocleis veracruz	0
Microhylidae	Ctenophryne geayi	2
Microhylidae	Dasypops schirchi	2
Microhylidae	Dermatonotus muelleri	9
Microhylidae	Elachistocleis bicolor	15
Microhylidae	Elachistocleis cesarii	2
Microhylidae	Elachistocleis corumbaensis	0
Microhylidae	Elachistocleis erythrogaster	2
Microhylidae	Elachistocleis helianneae	1
Microhylidae	Elachistocleis magna	0
Microhylidae	Elachistocleis muiraquitan	0
Microhylidae	Elachistocleis piauiensis	0
Microhylidae	Elachistocleis surinamensis	1
Microhylidae	Hamptophryne alios	1
Microhylidae	Hamptophryne boliviana	3
Microhylidae	Myersiella microps	0
Microhylidae	Stereocyclops histrio	0
Microhylidae	Stereocyclops incrassatus	3
Microhylidae	Stereocyclops palmipes	0
Microhylidae	Stereocyclops parkeri	0
Microhylidae	Synapturanus ajuricaba	0
Microhylidae	Synapturanus mirandaribeiroi	1
Microhylidae	Synapturanus zombie	0
Neblinaphrynidae	Neblinaphryne imeri	0
Neblinaphrynidae	Neblinaphryne mayeri	0
Odontophrynidae	Macrogenioglottus alipioi	4
Odontophrynidae	Odontophrynus asper	0
Odontophrynidae	Odontophrynus carvalhoi	4
Odontophrynidae	Odontophrynus cultripes	3
Odontophrynidae	Odontophrynus juquinha	1
Odontophrynidae	Odontophrynus lavillai	2
Odontophrynidae	Odontophrynus maisuma	1
Odontophrynidae	Odontophrynus monachus	1
Odontophrynidae	Odontophrynus reigi	0
Odontophrynidae	Odontophrynus toledoi	0
Odontophrynidae	Proceratophrys appendiculata	6
Odontophrynidae	Proceratophrys ararype	0
Odontophrynidae	Proceratophrys avelinoi	1
Odontophrynidae	Proceratophrys bagnoi	0
Odontophrynidae	Proceratophrys belzebul	0
Odontophrynidae	Proceratophrys bigibbosa	1
Odontophrynidae	Proceratophrys boiei	5
Odontophrynidae	Proceratophrys branti	0
Odontophrynidae	Proceratophrys brauni	0
Odontophrynidae	Proceratophrys carranca	1
Odontophrynidae	Proceratophrys concavitympanum	1
Odontophrynidae	Proceratophrys cristiceps	3
Odontophrynidae	Proceratophrys cururu	4
Odontophrynidae	Proceratophrys dibernardoi	1
Odontophrynidae	Proceratophrys gladius	0
Odontophrynidae	Proceratophrys goyana	1
Odontophrynidae	Proceratophrys huntingtoni	0
Odontophrynidae	Proceratophrys itamari	0
Odontophrynidae	Proceratophrys izecksohni	2
Odontophrynidae	Proceratophrys korekore	0
Odontophrynidae	Proceratophrys laticeps	3
Odontophrynidae	Proceratophrys mantiqueira	1
Odontophrynidae	Proceratophrys melanopogon	2
Odontophrynidae	Proceratophrys minuta	2
Odontophrynidae	Proceratophrys moehringi	2
Odontophrynidae	Proceratophrys moratoi	3
Odontophrynidae	Proceratophrys palustris	2
Odontophrynidae	Proceratophrys paviotii	0
Odontophrynidae	Proceratophrys phyllostomus	0
Odontophrynidae	Proceratophrys pombali	0
Odontophrynidae	Proceratophrys redacta	0
Odontophrynidae	Proceratophrys renalis	3
Odontophrynidae	Proceratophrys rondonae	0
Odontophrynidae	Proceratophrys rotundipalpebra	0
Odontophrynidae	Proceratophrys salvatori	0
Odontophrynidae	Proceratophrys sanctaritae	0
Odontophrynidae	Proceratophrys schirchi	2
Odontophrynidae	Proceratophrys strussmannae	0
Odontophrynidae	Proceratophrys subguttata	0
Odontophrynidae	Proceratophrys tupinamba	3
Odontophrynidae	Proceratophrys velhochico	0
Odontophrynidae	Proceratophrys vielliardi	0
Phyllomedusidae	Callimedusa atelopoides	0
Phyllomedusidae	Callimedusa tomopterna	0
Phyllomedusidae	Cruziohyla craspedopus	2
Phyllomedusidae	Hylomantis aspera	1
Phyllomedusidae	Hylomantis granulosa	2
Phyllomedusidae	Phasmahyla cochranae	1
Phyllomedusidae	Phasmahyla cruzi	4
Phyllomedusidae	Phasmahyla exilis	1
Phyllomedusidae	Phasmahyla guttata	8
Phyllomedusidae	Phasmahyla jandaia	3
Phyllomedusidae	Phasmahyla lisbella	1
Phyllomedusidae	Phasmahyla spectabilis	1
Phyllomedusidae	Phasmahyla timbo	1
Phyllomedusidae	Phrynomedusa appendiculata	1
Phyllomedusidae	Phrynomedusa bokermanni	0
Phyllomedusidae	Phrynomedusa dryade	0
Phyllomedusidae	Phrynomedusa fimbriata	0
Phyllomedusidae	Phrynomedusa marginata	2
Phyllomedusidae	Phrynomedusa vanzolinii	0
Phyllomedusidae	Phyllomedusa bahiana	1
Phyllomedusidae	Phyllomedusa bicolor	5
Phyllomedusidae	Phyllomedusa boliviana	4
Phyllomedusidae	Phyllomedusa burmeisteri	3
Phyllomedusidae	Phyllomedusa camba	1
Phyllomedusidae	Phyllomedusa distincta	1
Phyllomedusidae	Phyllomedusa iheringii	6
Phyllomedusidae	Phyllomedusa sauvagii	5
Phyllomedusidae	Phyllomedusa tarsius	2
Phyllomedusidae	Phyllomedusa tetraploidea	1
Phyllomedusidae	Phyllomedusa vaillantii	0
Phyllomedusidae	Pithecopus araguaius	0
Phyllomedusidae	Pithecopus ayeaye	0
Phyllomedusidae	Pithecopus azureus	0
Phyllomedusidae	Pithecopus centralis	0
Phyllomedusidae	Pithecopus gonzagai	0
Phyllomedusidae	Pithecopus hypochondrialis	0
Phyllomedusidae	Pithecopus megacephalus	0
Phyllomedusidae	Pithecopus nordestinus	0
Phyllomedusidae	Pithecopus oreades	0
Phyllomedusidae	Pithecopus palliatus	0
Phyllomedusidae	Pithecopus rohdei	0
Phyllomedusidae	Pithecopus rusticus	0
Pipidae	Pipa arrabali	2
Pipidae	Pipa carvalhoi	10
Pipidae	Pipa pipa	21
Pipidae	Pipa snethlageae	2
Ranidae	Aquarana catesbeiana	0
Ranidae	Lithobates palmipes	11
